company_name,domain,keyword,company_url
Accenture India Private Limited + India + India,www.accenture.com,linux,https://www.accenture.com/au-en/careers/jobdetails?id=13361288_en&title=Cloud+%26+Linux+Snr+Analyst
Accenture India Private Limited + India + India,www.accenture.com,windows,https://www.accenture.com/au-en/careers/jobdetails?id=R00268337_en&title=Windows%20Linux-Expressions%20of%20Interest%20-%20Ballarat
Advance Inovation + Indonesia + ASEAN,www.ad-ins.com,windows,https://www.ad-ins.com/products-services/suprboard/
Advance Inovation + Indonesia + ASEAN,www.ad-ins.com,linux,https://www.ad-ins.com/products-services/suprboard/
Australian Football League + Australia + ANZ,www.afl.com.au,windows,https://www.afl.com.au/video/75097/who-wins-the-prelims-might-be-time-to-board-up-your-windows?videoId=75097&modal=true&type=video&publishFrom=1568851856001
Accenture India Private Limited + India + India,www.accenture.com,android,https://www.accenture.com/hk-en/careers/jobdetails?id=R00136403_en
Advance Inovation + Indonesia + ASEAN,www.ad-ins.com,android,https://www.ad-ins.com/products-services/adins-mobile/mobile-order/
Australian Football League + Australia + ANZ,www.afl.com.au,android,https://www.afl.com.au/get-the-aflw-app
Aleph Labs + Australia + ANZ,www.aleph-labs.com,android,https://www.aleph-labs.com/careers
Aleph Labs + Australia + ANZ,www.aleph-labs.com,ios,https://www.aleph-labs.com/careers
Australian Football League + Australia + ANZ,www.afl.com.au,ios,https://www.afl.com.au/aamiclangersforgood
Aleph Labs + Australia + ANZ,www.aleph-labs.com,linux,https://www.aleph-labs.com/careers/SG/devops-developer/3?134946264
ANNALISE-AI PTY LTD + Australia + ANZ,www.annalise.ai,windows,https://annalise.ai/evidence/designing-effective-artificial-intelligence-software/
Advanced Micro Devices (Singapore) + Singapore + ASEAN,www.amd.com,ubuntu,https://www.amd.com/en/products/software/adaptive-socs-and-fpgas/embedded-software/ubuntu.html
Advanced Micro Devices (Singapore) + Singapore + ASEAN,www.amd.com,linux,https://www.amd.com/en/support/download/linux-drivers.html
ANNALISE-AI PTY LTD + Australia + ANZ,www.annalise.ai,ios,https://annalise.ai/wp-content/uploads/2025/06/OPT-PRM-027-Annalise-Enterprise-User-Guide-11.pdf
ANNALISE-AI PTY LTD + Australia + ANZ,www.annalise.ai,linux,https://annalise.ai/wp-content/uploads/2023/12/OPT-PRM-028-ES-Annalise-Enterprise-Administration-Guide-Spanish.pdf
Audinate + Australia + ANZ,www.audinate.com,windows,https://www.audinate.com/learning/faqs/are-any-windows-mac-drivers-or-software-required-for-the-dante-avio-usb-adapters?lang=de
Audinate + Australia + ANZ,www.audinate.com,linux,https://www.audinate.com/learning/faqs/what-operating-systems-are-supported-by-dante-virtual-soundcard/
Aviva vietnam + Vietnam + ASEAN,www.aviva.com,android,https://www.aviva.com/newsroom/news-releases/2011/09/poland-avivas-calculator-in-the-form-of-a-mobile-application-on-android-13163/
Aviva vietnam + Vietnam + ASEAN,www.aviva.com,windows,https://www.aviva.com/newsroom/news-releases/2007/06/uk-break-point-for-nations-windows-3324/
Audinate + Australia + ANZ,www.audinate.com,windows 7,https://www.audinate.com/support/dante-via-quickstart/
AXXIS Consulting (S) Pte Ltd + Singapore + ASEAN,www.axxis-consulting.com,android,https://axxis-consulting.com/what-is-sap-business-technology-platform/
AXXIS Consulting (S) Pte Ltd + Singapore + ASEAN,www.axxis-consulting.com,ios,https://axxis-consulting.com/what-is-sap-business-technology-platform/
AXXIS Consulting (S) Pte Ltd + Singapore + ASEAN,www.axxis-consulting.com,windows,https://axxis-consulting.com/sap-service-cloud/
BENDIGO BANK TELCO + Australia + ANZ,www.bendigobank.com.au,android,https://www.bendigobank.com.au/media-centre/bank-welcomes-android-pay-to-australia/
BENDIGO BANK TELCO + Australia + ANZ,www.bendigobank.com.au,ios,https://www.bendigobank.com.au/security/ben-protect/devices/
BELL DIRECT + Australia + ANZ,www.belldirect.com.au,android,https://www.belldirect.com.au/smarter/mobile
BELL DIRECT + Australia + ANZ,www.belldirect.com.au,ios,https://www.belldirect.com.au/smarter/mobile
BENDIGO BANK TELCO + Australia + ANZ,www.bendigobank.com.au,apple ios,https://www.bendigobank.com.au/business/payments-and-merchant-services/eftpos/eftpos-machines/
BELL DIRECT + Australia + ANZ,www.belldirect.com.au,windows,https://www.belldirect.com.au/account/faqs/webiress
Aviva vietnam + Vietnam + ASEAN,www.aviva.com,ubuntu,https://www.aviva.com/newsroom/news-releases/2009/11/netherlands-three-schools-involved-in-the-what-is-value-project-week-5716/
Blue Star Limited + India + India,www.bluestarindia.com,windows,https://www.bluestarindia.com/media/164905/vormetric-data-security-platform.pdf
Blue Star Limited + India + India,www.bluestarindia.com,linux,https://www.bluestarindia.com/media/164905/vormetric-data-security-platform.pdf
Blue Star Limited + India + India,www.bluestarindia.com,ubuntu,https://www.bluestarindia.com/media/164905/vormetric-data-security-platform.pdf
Bumrungrad International Hospital + Thailand + ASEAN,www.bumrungrad.com,ios,https://www.bumrungrad.com/en/search-results/all?searchtext=liver%20transplant&langs=%E3%80%90HackerSite%3A%20Kunghac.com%E3%80%91%2Ccellebrite%20hacked%2Chacks%20iphone%2013%2Chunter%20iphone%20hacked%2Ciphone%2011%20pro%20max%20hacks%2Capple%20lockdown%20mode%20hacked%2Capple%20phone%20has%20been%20hacked%2Chungry%20shark%20hack%20iphone%2Ciphone%2013%20hacks%202022%2Cios%2013%20ipad%20air%201%20hack%2Chack%20game%20iphone%2C
Bumrungrad International Hospital + Thailand + ASEAN,www.bumrungrad.com,android,https://www.bumrungrad.com/en/application
Bumrungrad International Hospital + Thailand + ASEAN,www.bumrungrad.com,windows,https://www.bumrungrad.com/en/conditions/phobias
CAPGEMINI INDIA PRIVATE LIMITED + India + India,www.capgemini.com,windows,https://www.capgemini.com/insights/research-library/windows-virtual-desktop-now-more-relevant-than-ever/
CAPGEMINI INDIA PRIVATE LIMITED + India + India,www.capgemini.com,linux,https://www.capgemini.com/insights/expert-perspectives/the-linux-foundation-margo-initiative/
capgemini - duplicate account + India + India,www.capgemini.com,android,https://www.capgemini.com/jobs/VG96m5EBMVlxkGnJnq1g/android-developer/
capgemini - duplicate account + India + India,www.capgemini.com,windows,https://www.capgemini.com/insights/research-library/windows-virtual-desktop-now-more-relevant-than-ever/
capgemini - duplicate account + India + India,www.capgemini.com,linux,https://www.capgemini.com/insights/expert-perspectives/the-linux-foundation-margo-initiative/
CESC Limited + India + India,www.cesc.co.in,windows,https://www.cesc.co.in/storage/uploads/tradingwindow/Closure%20of%20Trading%20Windows.pdf
CESC Limited + India + India,www.cesc.co.in,android,https://www.cesc.co.in/index.php/blogs/Nw==
CESC Limited + India + India,www.cesc.co.in,ios,https://www.cesc.co.in/index.php/blogs/Nw==
CESC Ventures + India + India,www.cesc.co.in,windows,https://www.cesc.co.in/storage/uploads/tradingwindow/Closure%20of%20Trading%20Windows.pdf
CESC Ventures + India + India,www.cesc.co.in,android,https://www.cesc.co.in/storage/uploads/blogs/Online%20payment%20blog.pdf
CESC Ventures + India + India,www.cesc.co.in,ios,https://www.cesc.co.in/storage/uploads/blogs/Online%20payment%20blog.pdf
Class Limited + Australia + ANZ,www.class.com.au,windows,https://www.class.com.au/minimum-hardware-requirements/
Class Limited + Australia + ANZ,www.class.com.au,windows 8,https://www.class.com.au/minimum-hardware-requirements/
Class Limited + Australia + ANZ,www.class.com.au,ios,https://www.class.com.au/minimum-hardware-requirements/
Viettel CHT Limited Company + Vietnam + ASEAN,www.cht.com.tw,android,https://www.cht.com.tw/home/prepaid/esim_setup/en.html
Viettel CHT Limited Company + Vietnam + ASEAN,www.cht.com.tw,ios,https://www.cht.com.tw/home/prepaid/esim_setup/en.html
Coforge-Duplicate account + India + India,www.coforge.com,android,https://www.coforge.com/what-we-know/blog/android-vs-ios-how-ai-on-mobile-can-transform-your-enterprise
Coforge-Duplicate account + India + India,www.coforge.com,ios,https://www.coforge.com/what-we-know/blog/android-vs-ios-how-ai-on-mobile-can-transform-your-enterprise
CAPGEMINI INDIA PRIVATE LIMITED + India + India,www.capgemini.com,android,https://www.capgemini.com/insights/expert-perspectives/improving-mobile-application-development-with-hybrid-application-frameworks/
Coforge-Duplicate account + India + India,www.coforge.com,windows,https://www.coforge.com/what-we-do/success-stories/power-utility-modernizes-data-capture-across-80-plants-with-cross-platform-app
Coforge Limited + India + India,www.coforge.com,android,https://www.coforge.com/what-we-know/blog/android-vs-ios-how-ai-on-mobile-can-transform-your-enterprise
Coforge Limited + India + India,www.coforge.com,ios,https://www.coforge.com/what-we-know/blog/android-vs-ios-how-ai-on-mobile-can-transform-your-enterprise
Coforge Limited + India + India,www.coforge.com,windows,https://www.coforge.com/what-we-do/success-stories/power-utility-modernizes-data-capture-across-80-plants-with-cross-platform-app
WHISHWORKS LIMITED + India + India,www.coforge.com,android,https://www.coforge.com/what-we-know/blog/android-vs-ios-how-ai-on-mobile-can-transform-your-enterprise
WHISHWORKS LIMITED + India + India,www.coforge.com,ios,https://www.coforge.com/what-we-know/blog/android-vs-ios-how-ai-on-mobile-can-transform-your-enterprise
WHISHWORKS LIMITED + India + India,www.coforge.com,windows,https://www.coforge.com/what-we-do/success-stories/power-utility-modernizes-data-capture-across-80-plants-with-cross-platform-app
COURTS (SINGAPORE) PTE. LTD. + Singapore + ASEAN,www.courts.com.sg,windows,https://www.courts.com.sg/windows-11?p=23
COURTS (SINGAPORE) PTE. LTD. + Singapore + ASEAN,www.courts.com.sg,android,https://www.courts.com.sg/windows-11?p=23
COURTS (SINGAPORE) PTE. LTD. + Singapore + ASEAN,www.courts.com.sg,ios,https://www.courts.com.sg/windows-11?p=18
Cyient Limited ( Previously Infotech Enterprises ) + India + India,www.cyient.com,android,https://www.cyient.com/resource-center/communication/whitepaper/driving-superior-customer-experienceleveraging-android-based-app-to-monitor-network-qos-in-real-time
Cyient Limited ( Previously Infotech Enterprises ) + India + India,www.cyient.com,windows,https://www.cyient.com/blog/windows-ce-end-of-life-for-medical-devices-challenges-and-opportunities-in-transitioning-to-a-new-operating-system
Cyient Limited ( Previously Infotech Enterprises ) + India + India,www.cyient.com,linux,https://www.cyient.com/whitepaper/embedded-software-testing-challenges-solutions
PT Bank Danamon Indonesia Tbk + Indonesia + ASEAN,www.danamon.co.id,ios,https://www.danamon.co.id/-/media/ALL-CONTENT-EBANKING/QRIS/QR-Merchant/18-06-2025/RIPLAY---Layanan-Merchant-QR-Danamon---Final_non-iOS-include-sameday---EN.pdf
PT Bank Danamon Indonesia Tbk + Indonesia + ASEAN,www.danamon.co.id,android,https://www.danamon.co.id/-/media/ALL-CONTENT-EBANKING/tutor-dbank-pro/Tutorial-Aktivasi-DBank-PRO-Android--ID.pdf
Viettel CHT Limited Company + Vietnam + ASEAN,www.cht.com.tw,windows,https://www.cht.com.tw/home/cht/-/media/Web/PDF/Recruit-and-Training/Recruit/2019/10809.pdf?la=zh-TW
Deloitte India - Core GSP + India + India,www.deloitte.com,ios,https://www.deloitte.com/be/en/alliances/apple.html
Association of Banks in Singapore - Deloitte + Singapore + ASEAN,www.deloitte.com,ios,https://www.deloitte.com/be/en/alliances/apple.html
Deloitte India - Core GSP + India + India,www.deloitte.com,android,https://www.deloitte.com/us/en/insights/industry/technology/technology-media-and-telecom-predictions/2024/authentication-technology-killer-app.html
Association of Banks in Singapore - Deloitte + Singapore + ASEAN,www.deloitte.com,android,https://www.deloitte.com/us/en/insights/industry/technology/technology-media-and-telecom-predictions/2024/authentication-technology-killer-app.html
Dialog Axiata PLC + India + India,www.dialog.lk,android,https://www.dialog.lk/offers-services/download-android-tv-apps
Dialog Axiata PLC + India + India,www.dialog.lk,ios,https://www.dialog.lk/technology-and-beyond/volte
Digitech One + Thailand + ASEAN,www.digitechone.co.th,android,https://www.digitechone.co.th/vpn-for-google-android-what-are-the-best-features/
Digitech One + Thailand + ASEAN,www.digitechone.co.th,windows,https://www.digitechone.co.th/avast-free-assessment-windows/
Deloitte India - Core GSP + India + India,www.deloitte.com,windows,https://www.deloitte.com/us/en/insights/industry/technology/future-of-the-movie-industry.html
Association of Banks in Singapore - Deloitte + Singapore + ASEAN,www.deloitte.com,windows,https://www.deloitte.com/us/en/insights/industry/technology/future-of-the-movie-industry.html
Dr Reddy's Laboratories Ltd + India + India,www.drreddys.com,android,https://www.drreddys.com/media/1059900/www-thehindubusinessline-com-companies-dr-reddys-to-launch-molnupiravir-next-week-at-rs-35-per-capsule-article38109674-ece.pdf
Dr Reddy's Laboratories Ltd + India + India,www.drreddys.com,ios,https://www.drreddys.com/media/1059900/www-thehindubusinessline-com-companies-dr-reddys-to-launch-molnupiravir-next-week-at-rs-35-per-capsule-article38109674-ece.pdf
Dialog Axiata PLC + India + India,www.dialog.lk,windows,https://www.dialog.lk/roaming/network-settings?language=si
Digitech One + Thailand + ASEAN,www.digitechone.co.th,ios,https://www.digitechone.co.th/pwa-vs-native-app-2022-which-suits-you-better/
AMP Limited - DXC + Australia + ANZ,www.dxc.com,linux,https://careers.dxc.com/global/en/job/51520874/Linux-Engineer
AMP Limited - DXC + Australia + ANZ,www.dxc.com,unix,https://careers.dxc.com/jp/ja/job/51545708/Junior-System-Administrator-with-Linux-Unix-Hybrid-24-7-rotation
AMP Limited - DXC + Australia + ANZ,www.dxc.com,windows,https://careers.dxc.com/pt/pt/job/51551968/Windows-Virtualization-ADFS-Engineer
BOC Group Australia - DXC + Australia + ANZ,www.dxc.com,linux,https://careers.dxc.com/global/en/job/51520874/Linux-Engineer
BOC Group Australia - DXC + Australia + ANZ,www.dxc.com,unix,https://careers.dxc.com/jp/ja/job/51545708/Junior-System-Administrator-with-Linux-Unix-Hybrid-24-7-rotation
BOC Group Australia - DXC + Australia + ANZ,www.dxc.com,windows,https://careers.dxc.com/pt/pt/job/51551968/Windows-Virtualization-ADFS-Engineer
[Child Account] Olympus Singapore - DXC + Singapore + ASEAN,www.dxc.com,linux,https://careers.dxc.com/global/en/job/51520874/Linux-Engineer
[Child Account] Olympus Singapore - DXC + Singapore + ASEAN,www.dxc.com,unix,https://careers.dxc.com/jp/ja/job/51545708/Junior-System-Administrator-with-Linux-Unix-Hybrid-24-7-rotation
[Child Account] Olympus Singapore - DXC + Singapore + ASEAN,www.dxc.com,windows,https://careers.dxc.com/pt/pt/job/51551968/Windows-Virtualization-ADFS-Engineer
DXC Technology India Private Limited + India + India,www.dxc.com,linux,https://careers.dxc.com/global/en/job/51520874/Linux-Engineer
DXC Technology India Private Limited + India + India,www.dxc.com,unix,https://careers.dxc.com/jp/ja/job/51545708/Junior-System-Administrator-with-Linux-Unix-Hybrid-24-7-rotation
DXC Technology India Private Limited + India + India,www.dxc.com,windows,https://careers.dxc.com/pt/pt/job/51551968/Windows-Virtualization-ADFS-Engineer
EbixCash + India + India,www.ebixcash.com,linux,https://career.ebixcash.com/linux-administration
EbixCash + India + India,www.ebixcash.com,windows,https://career.ebixcash.com/linux-administration
EbixCash + India + India,www.ebixcash.com,ubuntu,https://career.ebixcash.com/server-administrator
EMAPTA Versatile Services Inc. + Philippines + ASEAN,www.emapta.com,windows,https://emapta.com/data-security/
ERIS THERAPEUTICS LIMITED + India + India,www.eris.co.in,windows,https://eris.co.in/wp-content/uploads/2021/11/Annual-Report-2017-18.pdf
ERIS THERAPEUTICS LIMITED + India + India,www.eris.co.in,android,https://eris.co.in/wp-content/uploads/2021/11/Annual-Report-2017-18.pdf
Evalueserve + India + India,www.evalueserve.com,linux,https://www.evalueserve.com/media-coverage/microsoft-linux-licences-evince-emerging-best-practices-in-licensing-ai-technologies/
Eris Lifesciences ltd. + India + India,www.eris.co.in,windows,https://eris.co.in/wp-content/uploads/2021/11/AGM-Notice-2018.pdf
Eris Lifesciences ltd. + India + India,www.eris.co.in,android,https://eris.co.in/wp-content/uploads/2021/11/AGM-Notice-2018.pdf
Evalueserve + India + India,www.evalueserve.com,ios,https://www.evalueserve.com/innovation-intelligence-and-ip-solutions-old/
EMAPTA Versatile Services Inc. + Philippines + ASEAN,www.emapta.com,linux,https://emapta.com/blog/data-security-outsourcing/
Evalueserve + India + India,www.evalueserve.com,windows,https://www.evalueserve.com/intellectual-property-strategy/
EMAPTA Versatile Services Inc. + Philippines + ASEAN,www.emapta.com,unix,https://emapta.com/blog/database-administration-outsourcing/
FINANSIA SYRUS SECURITIES PUBLIC COMPANY LIMITED + Thailand + ASEAN,www.fnsyrus.com,android,https://www.fnsyrus.com/mc03/Default-en.aspx
FINANSIA SYRUS SECURITIES PUBLIC COMPANY LIMITED + Thailand + ASEAN,www.fnsyrus.com,ios,https://www.fnsyrus.com/mc03/Default-en.aspx
FINANSIA SYRUS SECURITIES PUBLIC COMPANY LIMITED + Thailand + ASEAN,www.fnsyrus.com,windows,https://www.fnsyrus.com/uploads/research/MSFT10.02.23.pdf
FPT Information System Corporation + Vietnam + ASEAN,www.fpt.com,ios,https://fpt.com/en/news/fpt-news/fpt-software-opens-user-interface-library-on-ios-and-html5
FPT Information System Corporation + Vietnam + ASEAN,www.fpt.com,android,https://fpt.com/en/news/fpt-news/36-software-employees-get-international-android-certification-at-fpt-nanoversity
FPT Information System Corporation + Vietnam + ASEAN,www.fpt.com,windows,https://fpt.com/en/news/fpt-news/fpt-launch-the-first-smartphone-running-windows-phone-
Online Business Assurance Center (Fpt Information System) + Vietnam + ASEAN,www.fpt.com,ios,https://fpt.com/en/news/fpt-news/fpt-software-opens-user-interface-library-on-ios-and-html5
Online Business Assurance Center (Fpt Information System) + Vietnam + ASEAN,www.fpt.com,android,https://fpt.com/en/news/fpt-news/36-software-employees-get-international-android-certification-at-fpt-nanoversity
Online Business Assurance Center (Fpt Information System) + Vietnam + ASEAN,www.fpt.com,windows,https://fpt.com/en/news/fpt-news/fpt-launch-the-first-smartphone-running-windows-phone-
FPTS + Vietnam + ASEAN,www.fpt.com,ios,https://fpt.com/en/news/fpt-news/fpt-software-opens-user-interface-library-on-ios-and-html5
FPTS + Vietnam + ASEAN,www.fpt.com,android,https://fpt.com/en/news/fpt-news/36-software-employees-get-international-android-certification-at-fpt-nanoversity
FPTS + Vietnam + ASEAN,www.fpt.com,windows,https://fpt.com/en/news/fpt-news/fpt-launch-the-first-smartphone-running-windows-phone-
ISC FPT Telecom(VN) + Vietnam + ASEAN,www.fpt.com,ios,https://fpt.com/en/news/fpt-news/fpt-software-opens-user-interface-library-on-ios-and-html5
ISC FPT Telecom(VN) + Vietnam + ASEAN,www.fpt.com,android,https://fpt.com/en/news/fpt-news/36-software-employees-get-international-android-certification-at-fpt-nanoversity
ISC FPT Telecom(VN) + Vietnam + ASEAN,www.fpt.com,windows,https://fpt.com/en/news/fpt-news/fpt-launch-the-first-smartphone-running-windows-phone-
